,event_month,total_searches,searches_converted_to_views,searches_converted_to_reservations
212,2023-08-01 00:00:00.000000,251,125,19
213,2023-08-02 00:00:00.000000,252,117,26
214,2023-08-03 00:00:00.000000,229,110,23
215,2023-08-04 00:00:00.000000,217,110,25
216,2023-08-05 00:00:00.000000,229,126,23
217,2023-08-06 00:00:00.000000,245,123,21
218,2023-08-07 00:00:00.000000,224,113,29
219,2023-08-08 00:00:00.000000,249,129,23
220,2023-08-09 00:00:00.000000,214,103,22
221,2023-08-10 00:00:00.000000,252,134,29
222,2023-08-11 00:00:00.000000,239,111,27
223,2023-08-12 00:00:00.000000,251,132,25
224,2023-08-13 00:00:00.000000,229,103,13
225,2023-08-14 00:00:00.000000,248,126,23
226,2023-08-15 00:00:00.000000,241,107,22
227,2023-08-16 00:00:00.000000,242,136,37
228,2023-08-17 00:00:00.000000,216,107,26
229,2023-08-18 00:00:00.000000,236,115,20
230,2023-08-19 00:00:00.000000,213,119,23
231,2023-08-20 00:00:00.000000,232,102,23
232,2023-08-21 00:00:00.000000,235,127,22
233,2023-08-22 00:00:00.000000,230,116,17
234,2023-08-23 00:00:00.000000,244,114,25
235,2023-08-24 00:00:00.000000,238,119,20
236,2023-08-25 00:00:00.000000,211,109,25
237,2023-08-26 00:00:00.000000,234,106,26
238,2023-08-27 00:00:00.000000,231,135,20
239,2023-08-28 00:00:00.000000,239,118,26
240,2023-08-29 00:00:00.000000,236,113,19
241,2023-08-30 00:00:00.000000,233,115,19
242,2023-08-31 00:00:00.000000,223,112,29
243,2023-09-01 00:00:00.000000,223,118,23
244,2023-09-02 00:00:00.000000,234,117,29
245,2023-09-03 00:00:00.000000,256,132,30
246,2023-09-04 00:00:00.000000,220,127,23
247,2023-09-05 00:00:00.000000,240,121,24
248,2023-09-06 00:00:00.000000,210,100,22
249,2023-09-07 00:00:00.000000,237,112,20
250,2023-09-08 00:00:00.000000,229,117,24
251,2023-09-09 00:00:00.000000,240,129,32
252,2023-09-10 00:00:00.000000,228,112,29
253,2023-09-11 00:00:00.000000,214,116,22
254,2023-09-12 00:00:00.000000,227,111,25
255,2023-09-13 00:00:00.000000,215,119,25
256,2023-09-14 00:00:00.000000,249,121,17
257,2023-09-15 00:00:00.000000,271,139,33
258,2023-09-16 00:00:00.000000,230,123,25
259,2023-09-17 00:00:00.000000,239,127,16
260,2023-09-18 00:00:00.000000,235,116,16
261,2023-09-19 00:00:00.000000,240,130,22
262,2023-09-20 00:00:00.000000,236,113,22
263,2023-09-21 00:00:00.000000,229,116,25
264,2023-09-22 00:00:00.000000,246,109,26
265,2023-09-23 00:00:00.000000,256,137,27
266,2023-09-24 00:00:00.000000,211,105,18
267,2023-09-25 00:00:00.000000,218,102,21
268,2023-09-26 00:00:00.000000,249,120,25
269,2023-09-27 00:00:00.000000,243,126,20
270,2023-09-28 00:00:00.000000,260,143,28
271,2023-09-29 00:00:00.000000,214,91,8
272,2023-09-30 00:00:00.000000,230,110,24
273,2023-10-01 00:00:00.000000,240,113,21
274,2023-10-02 00:00:00.000000,231,118,22
275,2023-10-03 00:00:00.000000,245,119,27
276,2023-10-04 00:00:00.000000,238,107,14
277,2023-10-05 00:00:00.000000,215,113,19
278,2023-10-06 00:00:00.000000,227,111,24
279,2023-10-07 00:00:00.000000,228,125,23
280,2023-10-08 00:00:00.000000,223,111,20
281,2023-10-09 00:00:00.000000,211,107,22
282,2023-10-10 00:00:00.000000,235,119,21
283,2023-10-11 00:00:00.000000,213,100,17
284,2023-10-12 00:00:00.000000,250,128,20
285,2023-10-13 00:00:00.000000,226,104,14
286,2023-10-14 00:00:00.000000,223,104,18
287,2023-10-15 00:00:00.000000,245,119,22
288,2023-10-16 00:00:00.000000,213,105,20
289,2023-10-17 00:00:00.000000,236,115,23
290,2023-10-18 00:00:00.000000,219,100,14
291,2023-10-19 00:00:00.000000,214,107,24
292,2023-10-20 00:00:00.000000,234,105,19
293,2023-10-21 00:00:00.000000,246,114,17
294,2023-10-22 00:00:00.000000,233,103,28
295,2023-10-23 00:00:00.000000,231,112,20
296,2023-10-24 00:00:00.000000,219,123,24
297,2023-10-25 00:00:00.000000,254,123,18
298,2023-10-26 00:00:00.000000,209,104,21
299,2023-10-27 00:00:00.000000,253,117,26
300,2023-10-28 00:00:00.000000,237,120,17
301,2023-10-29 00:00:00.000000,214,105,16
302,2023-10-30 00:00:00.000000,212,106,26
303,2023-10-31 00:00:00.000000,231,113,18
304,2023-11-01 00:00:00.000000,216,105,15
305,2023-11-02 00:00:00.000000,249,116,14
306,2023-11-03 00:00:00.000000,209,112,23
307,2023-11-04 00:00:00.000000,234,124,20
308,2023-11-05 00:00:00.000000,218,101,21
309,2023-11-06 00:00:00.000000,213,109,18
310,2023-11-07 00:00:00.000000,229,103,19
311,2023-11-08 00:00:00.000000,211,92,14
312,2023-11-09 00:00:00.000000,239,113,16
313,2023-11-10 00:00:00.000000,253,149,29
314,2023-11-11 00:00:00.000000,214,107,27
315,2023-11-12 00:00:00.000000,241,123,20
316,2023-11-13 00:00:00.000000,241,116,22
317,2023-11-14 00:00:00.000000,208,104,17
318,2023-11-15 00:00:00.000000,244,121,23
319,2023-11-16 00:00:00.000000,267,123,18
320,2023-11-17 00:00:00.000000,232,114,19
321,2023-11-18 00:00:00.000000,247,121,18
322,2023-11-19 00:00:00.000000,239,103,13
323,2023-11-20 00:00:00.000000,239,119,15
324,2023-11-21 00:00:00.000000,243,118,20
325,2023-11-22 00:00:00.000000,218,108,21
326,2023-11-23 00:00:00.000000,222,112,16
327,2023-11-24 00:00:00.000000,258,132,17
328,2023-11-25 00:00:00.000000,253,127,27
329,2023-11-26 00:00:00.000000,240,127,15
330,2023-11-27 00:00:00.000000,221,114,19
331,2023-11-28 00:00:00.000000,231,106,10
332,2023-11-29 00:00:00.000000,237,113,11
333,2023-11-30 00:00:00.000000,250,106,16
334,2023-12-01 00:00:00.000000,200,100,12
335,2023-12-02 00:00:00.000000,235,118,9
336,2023-12-03 00:00:00.000000,218,113,12
337,2023-12-04 00:00:00.000000,223,110,5
338,2023-12-05 00:00:00.000000,210,92,5
339,2023-12-06 00:00:00.000000,218,105,7
340,2023-12-07 00:00:00.000000,221,119,14
341,2023-12-08 00:00:00.000000,251,116,7
342,2023-12-09 00:00:00.000000,234,123,5
343,2023-12-10 00:00:00.000000,229,115,7
344,2023-12-11 00:00:00.000000,212,109,8
345,2023-12-12 00:00:00.000000,232,113,7
346,2023-12-13 00:00:00.000000,235,118,6
347,2023-12-14 00:00:00.000000,247,130,6
348,2023-12-15 00:00:00.000000,243,129,6
349,2023-12-16 00:00:00.000000,209,96,3
350,2023-12-17 00:00:00.000000,248,122,4
351,2023-12-18 00:00:00.000000,235,109,6
352,2023-12-19 00:00:00.000000,222,114,3
353,2023-12-20 00:00:00.000000,211,120,5
354,2023-12-21 00:00:00.000000,233,112,9
355,2023-12-22 00:00:00.000000,238,110,5
356,2023-12-23 00:00:00.000000,240,117,3
357,2023-12-24 00:00:00.000000,211,101,0
358,2023-12-25 00:00:00.000000,216,106,1
359,2023-12-26 00:00:00.000000,221,106,3
360,2023-12-27 00:00:00.000000,229,109,3
361,2023-12-28 00:00:00.000000,219,109,2
362,2023-12-29 00:00:00.000000,237,126,1
363,2023-12-30 00:00:00.000000,247,135,1
364,2023-12-31 00:00:00.000000,239,111,0
